county_state,living_wage
"Barber, Kansas",32768
"Barton, Kansas",32735
"Bourbon, Kansas",32735
"Brown, Kansas",32768
"Butler, Kansas",33091
"Chase, Kansas",32768
"Chautauqua, Kansas",32768
"Cherokee, Kansas",32832
"Cheyenne, Kansas",32768
"Clark, Kansas",34012
"Clay, Kansas",33123
"Cloud, Kansas",32768
"Coffey, Kansas",32768
"Comanche, Kansas",32768
"Cowley, Kansas",32784
"Crawford, Kansas",33010
"Decatur, Kansas",32768
"Dickinson, Kansas",32735
"Doniphan, Kansas",32703
"Douglas, Kansas",35499
"Edwards, Kansas",32768
"Elk, Kansas",32768
"Ellis, Kansas",33026
"Ellsworth, Kansas",32768
"Finney, Kansas",33786
"Ford, Kansas",33592
"Franklin, Kansas",32962
"Geary, Kansas",35030
"Gove, Kansas",32768
"Graham, Kansas",32768
"Grant, Kansas",32768
"Gray, Kansas",32768
"Greeley, Kansas",32768
"Greenwood, Kansas",32768
"Hamilton, Kansas",32768
"Harper, Kansas",32768
"Harvey, Kansas",33091
"Haskell, Kansas",32768
"Hodgeman, Kansas",32768
"Jackson, Kansas",33754
"Jefferson, Kansas",33754
"Jewell, Kansas",32768
"Johnson, Kansas",35806
"Kearny, Kansas",32768
"Kingman, Kansas",31653
"Kiowa, Kansas",32768
"Labette, Kansas",31653
"Lane, Kansas",32768
"Leavenworth, Kansas",35806
"Lincoln, Kansas",32768
"Linn, Kansas",35806
"Logan, Kansas",32768
"Lyon, Kansas",31653
"Marion, Kansas",32768
"Marshall, Kansas",32768
"McPherson, Kansas",33091
"Meade, Kansas",32768
"Miami, Kansas",35806
"Mitchell, Kansas",32768
"Montgomery, Kansas",32735
"Morris, Kansas",32768
"Morton, Kansas",32768
"Nemaha, Kansas",31653
"Neosho, Kansas",32897
"Ness, Kansas",32768
"Norton, Kansas",32768
"Osage, Kansas",33754
"Osborne, Kansas",32768
"Ottawa, Kansas",33059
"Pawnee, Kansas",32768
"Phillips, Kansas",33931
"Pottawatomie, Kansas",35547
"Pratt, Kansas",32929
"Rawlins, Kansas",32768
"Reno, Kansas",32348
"Republic, Kansas",32768
"Rice, Kansas",32768
"Riley, Kansas",35547
"Rooks, Kansas",32768
"Rush, Kansas",32768
"Russell, Kansas",32768
"Saline, Kansas",32816
"Scott, Kansas",32768
"Sedgwick, Kansas",33091
"Seward, Kansas",33576
"Shawnee, Kansas",33754
"Sheridan, Kansas",32768
"Sherman, Kansas",33576
"Smith, Kansas",32768
"Stafford, Kansas",32768
"Stanton, Kansas",32832
"Stevens, Kansas",32881
"Sumner, Kansas",32089
"Thomas, Kansas",32768
"Trego, Kansas",32768
"Wabaunsee, Kansas",33754
"Wallace, Kansas",32768
"Washington, Kansas",32768
"Wichita, Kansas",32768
"Wilson, Kansas",32768
"Woodson, Kansas",32768
"Wyandotte, Kansas",35806
"Adair, Kentucky",30936
"Allen, Kentucky",31257
"Anderson, Kentucky",31513
"Ballard, Kentucky",30904
"Barren, Kentucky",30840
"Bath, Kentucky",30696
"Bell, Kentucky",30536
"Boone, Kentucky",32602
"Bourbon, Kentucky",33019
"Boyd, Kentucky",31785
"Boyle, Kentucky",31433
"Bracken, Kentucky",32602
"Breathitt, Kentucky",30536
"Breckinridge, Kentucky",31801
"Bullitt, Kentucky",33323
"Butler, Kentucky",30936
"Caldwell, Kentucky",30536
"Calloway, Kentucky",31545
"Campbell, Kentucky",32602
"Carlisle, Kentucky",30536
"Carroll, Kentucky",30536
"Carter, Kentucky",30536
"Casey, Kentucky",30536
"Christian, Kentucky",32154
"Clark, Kentucky",33019
"Clay, Kentucky",32025
"Clinton, Kentucky",30536
"Crittenden, Kentucky",30536
"Cumberland, Kentucky",29927
"Daviess, Kentucky",32506
"Edmonson, Kentucky",33435
"Elliott, Kentucky",30536
"Estill, Kentucky",30536
"Fayette, Kentucky",33019
"Fleming, Kentucky",30536
"Floyd, Kentucky",30536
"Franklin, Kentucky",31417
"Fulton, Kentucky",30536
"Gallatin, Kentucky",32602
"Garrard, Kentucky",31112
